Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Target_Squared_Return
2010-06-30,2010-07-01,AAPL,Apple,Stock,Train,-1.8279322142249408,1.4883563462219944
2010-07-01,2010-07-02,AAPL,Apple,Stock,Train,-1.2199821089761909,0.3865023577541018
2010-07-02,2010-07-06,AAPL,Apple,Stock,Train,-0.6216931379339021,0.4652096094800186
2010-07-06,2010-07-07,AAPL,Apple,Stock,Train,0.6820627606606438,15.671446880346886
2010-07-07,2010-07-08,AAPL,Apple,Stock,Train,3.958717832878075,0.0503961910817069
2010-07-08,2010-07-09,AAPL,Apple,Stock,Train,-0.2244909599108768,0.3493715992234139
2010-07-09,2010-07-12,AAPL,Apple,Stock,Train,0.5910766441193679,0.8127961027681021
2010-07-12,2010-07-13,AAPL,Apple,Stock,Train,-0.9015520521678724,4.651791881606902
2010-07-13,2010-07-14,AAPL,Apple,Stock,Train,-2.156801307864705,0.1358671655323949
2010-07-14,2010-07-15,AAPL,Apple,Stock,Train,0.3686016352817698,0.257764690769356
2010-07-15,2010-07-16,AAPL,Apple,Stock,Train,-0.5077053188310676,0.3823678663764924
2010-07-16,2010-07-19,AAPL,Apple,Stock,Train,-0.618359010912344,3.040929494770137
2010-07-19,2010-07-20,AAPL,Apple,Stock,Train,-1.7438261079506,6.436295303006835
2010-07-20,2010-07-21,AAPL,Apple,Stock,Train,2.536985475521458,0.8623753334647691
2010-07-21,2010-07-22,AAPL,Apple,Stock,Train,0.928641660418468,3.469499197824221
2010-07-22,2010-07-23,AAPL,Apple,Stock,Train,1.862659173822259,0.1256877457506092
2010-07-23,2010-07-26,AAPL,Apple,Stock,Train,0.3545246757993147,0.0646175534368576
2010-07-26,2010-07-27,AAPL,Apple,Stock,Train,-0.2541998297341241,3.3648672737606193
2010-07-27,2010-07-28,AAPL,Apple,Stock,Train,1.8343574552852613,1.4125612123796465
2010-07-28,2010-07-29,AAPL,Apple,Stock,Train,-1.1885121843631417,1.2059361526987766
2010-07-29,2010-07-30,AAPL,Apple,Stock,Train,-1.0981512430893918,0.1113811511404688
2010-07-30,2010-08-02,AAPL,Apple,Stock,Train,-0.333738147565526,3.14115884531298
2010-08-02,2010-08-03,AAPL,Apple,Stock,Train,1.7723314716251528,0.0009353616965796
2010-08-03,2010-08-04,AAPL,Apple,Stock,Train,0.030583683502476,0.1600635390602661
2010-08-04,2010-08-05,AAPL,Apple,Stock,Train,0.4000794159417178,0.2380451478267206
2010-08-05,2010-08-06,AAPL,Apple,Stock,Train,-0.4878987065229018,0.3808957987193114
2010-08-06,2010-08-09,AAPL,Apple,Stock,Train,-0.6171675612986407,0.404777559784979
2010-08-09,2010-08-10,AAPL,Apple,Stock,Train,0.6362213135261809,0.8063474294824458
2010-08-10,2010-08-11,AAPL,Apple,Stock,Train,-0.8979685013865719,13.096944340429618
2010-08-11,2010-08-12,AAPL,Apple,Stock,Train,-3.618970066252223,0.4064179302064906
2010-08-12,2010-08-13,AAPL,Apple,Stock,Train,0.6375091608804462,1.1536823895647812
2010-08-13,2010-08-16,AAPL,Apple,Stock,Train,-1.0740960802296884,0.3455373736578015
2010-08-16,2010-08-17,AAPL,Apple,Stock,Train,-0.5878242710690003,3.004715001907658
2010-08-17,2010-08-18,AAPL,Apple,Stock,Train,1.7334113769984487,0.1897252915047088
2010-08-18,2010-08-19,AAPL,Apple,Stock,Train,0.4355746681163963,1.6092258981891097
2010-08-19,2010-08-20,AAPL,Apple,Stock,Train,-1.2685526785234855,0.0092263508614839
2010-08-20,2010-08-23,AAPL,Apple,Stock,Train,-0.0960538956080593,2.403118261654257
2010-08-23,2010-08-24,AAPL,Apple,Stock,Train,-1.5501994264139878,5.842269720475361
2010-08-24,2010-08-25,AAPL,Apple,Stock,Train,-2.417078757607075,1.5033976812976326
2010-08-25,2010-08-26,AAPL,Apple,Stock,Train,1.226131184375323,1.1671778262022912
2010-08-26,2010-08-27,AAPL,Apple,Stock,Train,-1.0803600447083792,0.3092729122107345
2010-08-27,2010-08-30,AAPL,Apple,Stock,Train,0.5561231088623584,0.1321851068815155
2010-08-30,2010-08-31,AAPL,Apple,Stock,Train,0.3635726982069961,0.0610829572017143
2010-08-31,2010-09-01,AAPL,Apple,Stock,Train,0.2471496655909418,8.588790013616578
2010-09-01,2010-09-02,AAPL,Apple,Stock,Train,2.93066374966774,0.5363049406196714
2010-09-02,2010-09-03,AAPL,Apple,Stock,Train,0.7323284376696506,6.674975576033787
2010-09-03,2010-09-07,AAPL,Apple,Stock,Train,2.5835974098210013,0.1381105349784929
2010-09-07,2010-09-08,AAPL,Apple,Stock,Train,-0.3716322577205764,3.852185148761232
2010-09-08,2010-09-09,AAPL,Apple,Stock,Train,1.9626984355119947,0.003246974666669
2010-09-09,2010-09-10,AAPL,Apple,Stock,Train,0.0569822311485695,0.0166923866633542
2010-09-10,2010-09-13,AAPL,Apple,Stock,Train,0.1291990195913042,1.8732770621593795
2010-09-13,2010-09-14,AAPL,Apple,Stock,Train,1.3686771212230369,0.1453486951007281
2010-09-14,2010-09-15,AAPL,Apple,Stock,Train,0.3812462394578182,0.6440266496224979
2010-09-15,2010-09-16,AAPL,Apple,Stock,Train,0.8025127099445204,5.395121927486535
2010-09-16,2010-09-17,AAPL,Apple,Stock,Train,2.322740176491235,0.1890674406555961
2010-09-17,2010-09-20,AAPL,Apple,Stock,Train,-0.4348188595905152,7.920876535400753
2010-09-20,2010-09-21,AAPL,Apple,Stock,Train,2.814405183231574,0.0362736524666467
2010-09-21,2010-09-22,AAPL,Apple,Stock,Train,0.1904564319382435,1.9399271799880804
2010-09-22,2010-09-23,AAPL,Apple,Stock,Train,1.3928126866122668,0.1646459212051055
2010-09-23,2010-09-24,AAPL,Apple,Stock,Train,0.4057658452914754,1.368712303111471
2010-09-24,2010-09-27,AAPL,Apple,Stock,Train,1.169919784904705,0.1580930322951265
2010-09-27,2010-09-28,AAPL,Apple,Stock,Train,-0.3976091451351773,2.2137154740848644
2010-09-28,2010-09-29,AAPL,Apple,Stock,Train,-1.4878559991090752,0.0315368233576803
2010-09-29,2010-09-30,AAPL,Apple,Stock,Train,0.1775861012514221,1.6069167368408577
2010-09-30,2010-10-01,AAPL,Apple,Stock,Train,-1.2676421959057915,0.1887433574936113
2010-10-01,2010-10-04,AAPL,Apple,Stock,Train,-0.4344460351914969,1.912442930664667
2010-10-04,2010-10-05,AAPL,Apple,Stock,Train,-1.382911034978269,13.17609334099318
2010-10-05,2010-10-06,AAPL,Apple,Stock,Train,3.6298888882434377,0.0074881195958754
2010-10-06,2010-10-07,AAPL,Apple,Stock,Train,0.0865339216485387,0.0001067198995388
2010-10-07,2010-10-08,AAPL,Apple,Stock,Train,0.0103305323937757,2.7655514949485926
2010-10-08,2010-10-11,AAPL,Apple,Stock,Train,1.662994736897442,0.1915854408727239
2010-10-11,2010-10-12,AAPL,Apple,Stock,Train,0.4377047416612298,1.1468492552523657
2010-10-12,2010-10-13,AAPL,Apple,Stock,Train,1.070910479569775,0.28572389695686
2010-10-13,2010-10-14,AAPL,Apple,Stock,Train,0.5345314742434351,0.5189888373587964
2010-10-14,2010-10-15,AAPL,Apple,Stock,Train,0.7204087987794128,16.235899672944207
2010-10-15,2010-10-18,AAPL,Apple,Stock,Train,4.02937956426845,1.0617649275414875
2010-10-18,2010-10-19,AAPL,Apple,Stock,Train,1.0304197821963084,7.357926104515033
2010-10-19,2010-10-20,AAPL,Apple,Stock,Train,-2.712549742311656,0.1125353526983901
2010-10-20,2010-10-21,AAPL,Apple,Stock,Train,0.335462893176563,0.1061118322333211
2010-10-21,2010-10-22,AAPL,Apple,Stock,Train,-0.3257481116343134,0.4415828995452837
2010-10-22,2010-10-25,AAPL,Apple,Stock,Train,-0.6645170423287003,0.1976288974501584
2010-10-25,2010-10-26,AAPL,Apple,Stock,Train,0.4445547181733182,0.0655813295254146
2010-10-26,2010-10-27,AAPL,Apple,Stock,Train,-0.2560885189254189,0.0051088314202368
2010-10-27,2010-10-28,AAPL,Apple,Stock,Train,-0.0714760898499411,0.7138249074500547
2010-10-28,2010-10-29,AAPL,Apple,Stock,Train,-0.8448815937455701,1.9754664225558731
2010-10-29,2010-11-01,AAPL,Apple,Stock,Train,-1.4055128681573403,1.1184773160258132
2010-11-01,2010-11-02,AAPL,Apple,Stock,Train,1.0575808791888277,2.8514160093169414
2010-11-02,2010-11-03,AAPL,Apple,Stock,Train,1.6886136352987742,1.2229396929915015
2010-11-03,2010-11-04,AAPL,Apple,Stock,Train,1.1058660375432017,3.0052533273529813
2010-11-04,2010-11-05,AAPL,Apple,Stock,Train,1.733566649238783,0.1287205765506896
2010-11-05,2010-11-08,AAPL,Apple,Stock,Train,-0.3587764994403754,0.2196766919947693
2010-11-08,2010-11-09,AAPL,Apple,Stock,Train,0.4686968017756995,0.6405990773702757
2010-11-09,2010-11-10,AAPL,Apple,Stock,Train,-0.8003743357768761,0.3782964134128955
2010-11-10,2010-11-11,AAPL,Apple,Stock,Train,0.6150580569449485,0.1890879510247576
2010-11-11,2010-11-12,AAPL,Apple,Stock,Train,-0.4348424439090067,7.617702947977016
2010-11-12,2010-11-15,AAPL,Apple,Stock,Train,-2.7600186499328254,0.1036432086332908
2010-11-15,2010-11-16,AAPL,Apple,Stock,Train,-0.3219366531373693,3.2076447257811003
2010-11-16,2010-11-17,AAPL,Apple,Stock,Train,-1.7909898731654237,0.1310263260229878
2010-11-17,2010-11-18,AAPL,Apple,Stock,Train,-0.3619755876063851,6.784063862362447
2010-11-18,2010-11-19,AAPL,Apple,Stock,Train,2.604623554827539,0.3054432221680892
2010-11-19,2010-11-22,AAPL,Apple,Stock,Train,-0.5526691796799322,4.572990592188655
2010-11-22,2010-11-23,AAPL,Apple,Stock,Train,2.1384551882582565,2.215730328628018
2010-11-23,2010-11-24,AAPL,Apple,Stock,Train,-1.4885329450932612,3.7909875950630463
2010-11-24,2010-11-26,AAPL,Apple,Stock,Train,1.9470458636259824,0.0040370124989738
2010-11-26,2010-11-29,AAPL,Apple,Stock,Train,0.0635374889256245,0.3503531663874299
2010-11-29,2010-11-30,AAPL,Apple,Stock,Train,0.5919063831277966,3.318601117978987
2010-11-30,2010-12-01,AAPL,Apple,Stock,Train,-1.821702807260006,2.799599174337677
2010-12-01,2010-12-02,AAPL,Apple,Stock,Train,1.673200279206789,0.3042619694802875
2010-12-02,2010-12-03,AAPL,Apple,Stock,Train,0.5515994647208131,0.0499123154259889
2010-12-03,2010-12-06,AAPL,Apple,Stock,Train,-0.2234106430454667,0.7225629337395523
2010-12-06,2010-12-07,AAPL,Apple,Stock,Train,0.8500370190406723,0.3693924599023671
2010-12-07,2010-12-08,AAPL,Apple,Stock,Train,-0.6077766529757186,0.767520949840224
2010-12-08,2010-12-09,AAPL,Apple,Stock,Train,0.8760827300205295,0.1521894707091479
2010-12-09,2010-12-10,AAPL,Apple,Stock,Train,-0.390114689173771,0.0624175931256908
2010-12-10,2010-12-13,AAPL,Apple,Stock,Train,0.2498351318883933,0.1194924869346747
2010-12-13,2010-12-14,AAPL,Apple,Stock,Train,0.3456768533394661,0.1848408169603086
2010-12-14,2010-12-15,AAPL,Apple,Stock,Train,-0.4299311770043068,0.0004795583596748
2010-12-15,2010-12-16,AAPL,Apple,Stock,Train,0.0218988209654036,0.0769347274677417
2010-12-16,2010-12-17,AAPL,Apple,Stock,Train,0.2773711006354876,0.0397764151422245
2010-12-17,2010-12-20,AAPL,Apple,Stock,Train,-0.1994402545681903,0.2478416930505058
2010-12-20,2010-12-21,AAPL,Apple,Stock,Train,0.4978370145444248,0.3791060821529569
2010-12-21,2010-12-22,AAPL,Apple,Stock,Train,0.6157159102645935,0.0874125287966211
2010-12-22,2010-12-23,AAPL,Apple,Stock,Train,0.2956560988659309,0.2312774438926357
2010-12-23,2010-12-27,AAPL,Apple,Stock,Train,-0.4809131354960433,0.1109988440545586
2010-12-27,2010-12-28,AAPL,Apple,Stock,Train,0.3331648901888652,0.0590811597120367
2010-12-28,2010-12-29,AAPL,Apple,Stock,Train,0.2430661632396347,0.0030621879075292
2010-12-29,2010-12-30,AAPL,Apple,Stock,Train,-0.0553370392009664,0.2523673029041799
2010-12-30,2010-12-31,AAPL,Apple,Stock,Train,-0.5023617251584559,0.1158953361523829
2010-12-31,2011-01-03,AAPL,Apple,Stock,Train,-0.3404340408249195,4.622403558664809
2011-01-03,2011-01-04,AAPL,Apple,Stock,Train,2.14997757166553,0.2709111609901374
2011-01-04,2011-01-05,AAPL,Apple,Stock,Train,0.5204912688894382,0.6637393427957995
2011-01-05,2011-01-06,AAPL,Apple,Stock,Train,0.8147019963126392,0.0065356715755386
2011-01-06,2011-01-07,AAPL,Apple,Stock,Train,-0.0808435005151228,0.5091856994845976
